Dataset,Model,Accuracy,Precision,Recall,F1,ROC AUC,CV F1 (mean),CV F1 (std)
dataset_a,Logistic Regression,0.9895833333333334,0.9938650306748467,0.9878048780487805,0.9908256880733946,0.99955743509048,0.9852491934175417,0.007639186761620122
dataset_a,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.0
dataset_b,Logistic Regression,0.8658940397350994,0.23232323232323232,0.8214285714285714,0.36220472440944884,0.9426463293650793,0.38445171010829393,0.03499709421051455
dataset_b,Random Forest,0.9172185430463576,0.3103448275862069,0.6428571428571429,0.4186046511627907,0.9217509920634921,0.4506681869857537,0.025199862285932906
