Dataset,Model,Accuracy,Precision,Recall,F1,ROC AUC,CV F1 (mean),CV F1 (std)
dataset_a,Logistic Regression,0.9895833333333334,0.9938650306748468,0.9878048780487804,0.9908256880733946,0.99955743509048,0.9852491934175416,0.0076391867616201
dataset_a,Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,0.0
dataset_b,Logistic Regression,0.8658940397350994,0.2323232323232323,0.8214285714285714,0.3622047244094488,0.9426463293650792,0.3844517101082939,0.0349970942105145
dataset_b,Random Forest,0.9172185430463576,0.3103448275862069,0.6428571428571429,0.4186046511627907,0.921750992063492,0.4506681869857537,0.0251998622859329
